School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Longitude,Latitude
South Dakota School of Mines & Technology,Midwestern,"$55,800","$93,400","$71,500","$81,900","$122,000","$147,000",-103.205753,44.075439
University of Michigan,Midwestern,"$52,700","$93,000","$50,900","$69,400","$128,000","$182,000",-83.742769,42.275921
Purdue University,Midwestern,"$51,400","$90,500","$49,900","$67,400","$121,000","$168,000",-86.914435,40.428206
Marquette University,Midwestern,"$48,500","$88,400","$49,500","$67,400","$121,000","$184,000",-87.927961,43.03903
DePauw University,Midwestern,"$41,400","$88,200","$49,500","$57,400","$133,000","$185,000",-86.863556,39.63953
University of Wisconsin (UW) - Madison,Midwestern,"$48,900","$87,800","$47,400","$62,400","$118,000","$170,000",-89.405356,43.073858
Bradley University,Midwestern,"$47,000","$87,300","$45,900","$64,900","$113,000","$151,000",-89.61462,40.697605
St. Olaf College,Midwestern,"$45,300","$86,200","$41,300","$61,000","$120,000","$185,000",-93.183633,44.462884
Michigan State University (MSU),Midwestern,"$46,300","$85,300","$44,200","$61,500","$119,000","$170,000",-84.476111,42.73212
DePaul University,Midwestern,"$46,400","$84,800","$50,300","$63,900","$115,000","$160,000",-87.62724,41.877618
Iowa State University,Midwestern,"$45,400","$84,600","$44,400","$60,000","$109,000","$147,000",-93.648504,42.026212
University of Minnesota,Midwestern,"$46,200","$84,200","$49,000","$63,200","$112,000","$148,000",-93.235352,44.977886
"Indiana University (IU), Bloomington",Midwestern,"$46,300","$84,000","$43,600","$60,400","$119,000","$178,000",-86.526904,39.166383
University of Iowa (UI),Midwestern,"$44,700","$83,900","$43,300","$61,100","$116,000","$163,000",-91.536425,41.661935
Ohio State University (OSU),Midwestern,"$44,900","$83,700","$45,500","$60,700","$116,000","$162,000",-83.009001,39.998389
Denison University,Midwestern,"$42,000","$83,500",N/A,"$62,100","$122,000",N/A,-82.520625,40.072582
University of Illinois at Chicago,Midwestern,"$47,500","$81,700","$44,700","$58,800","$110,000","$146,000",-87.651145,41.872651
Oberlin College,Midwestern,"$43,400","$81,600",N/A,"$46,400","$128,000",N/A,-82.221786,41.29474
University of Kansas,Midwestern,"$42,400","$81,600","$44,800","$57,200","$115,000","$156,000",-95.247567,38.958549
University of Missouri - Columbia,Midwestern,"$41,700","$81,000","$43,500","$57,100","$111,000","$156,000",-92.326429,38.941015
University of Nebraska,Midwestern,"$45,700","$80,900","$42,200","$56,600","$113,000","$156,000",-96.700508,40.817598
Northern Illinois University (NIU),Midwestern,"$43,600","$80,800","$43,900","$60,200","$111,000","$161,000",-88.766428,41.933869
Gustavus Adolphus College,Midwestern,"$44,500","$80,600",N/A,"$49,300","$101,000",N/A,-93.971928,44.324968
University of North Dakota,Midwestern,"$44,000","$80,600","$43,400","$56,400","$111,000","$157,000",-97.071738,47.921654
Kansas State University (KSU),Midwestern,"$43,300","$79,000","$37,200","$54,100","$106,000","$138,000",-96.581077,39.188648
University of Wisconsin (UW) - Platteville,Midwestern,"$45,800","$78,500","$48,400","$61,200","$100,000","$139,000",-90.492709,42.733936
Wittenberg University,Midwestern,"$39,200","$78,200",N/A,"$54,100","$131,000",N/A,-83.815445,39.934029
North Dakota State University (NDSU),Midwestern,"$45,100","$77,800","$39,000","$55,800","$100,000","$123,000",-96.800838,46.893127
Grinnell College,Midwestern,"$42,600","$76,600",N/A,"$65,100","$116,000",N/A,-92.721246,41.747048
Wayne State University,Midwestern,"$42,800","$76,100","$40,100","$56,200","$101,000","$139,000",-83.072864,42.35861
University of Toledo,Midwestern,"$43,100","$75,900","$40,100","$54,100","$100,000","$133,000",-83.614714,41.660572
University of Wisconsin (UW) - Whitewater,Midwestern,"$40,800","$75,500","$38,200","$53,500","$99,300","$150,000",-88.742368,42.835563
Minnesota State University - Mankato,Midwestern,"$43,300","$74,700","$39,500","$53,800","$95,700","$140,000",-93.99945,44.146712
University of Wisconsin (UW) - Milwaukee,Midwestern,"$42,300","$74,600","$40,600","$54,000","$93,700","$123,000",-87.880488,43.076848
Western Michigan University (WMU),Midwestern,"$42,300","$73,800","$40,100","$52,500","$103,000","$135,000",-85.61512,42.282589
South Dakota State University (SDSU),Midwestern,"$41,100","$73,500","$34,100","$49,900","$99,400","$129,000",-96.782139,44.317485
